35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
0.9496899843;163.0492859;1.888864994;203.2165222;488.0299988;0.9281933904;676;8.817993164
0.9546999931;155.4660187;1.898885012;201.9350891;488.9299927;1.021872044;678;8.033741951
0.9597100019;162.5758057;1.908905029;200.6095886;490;1.164029479;680;7.81058073
0.9647200108;157.5533142;1.918924928;199.404953;491.0400085;0.93674016;682;6.757081985
0.9697300196;156.5965424;1.928944945;198.3334045;491.9400024;0.8259800673;684;6.194618702
0.9747399688;153.7669373;1.938964963;198.4282074;492.980011;1.000960946;686;6.156837463
0.9797499776;153.0515594;1.948984981;196.554718;494.019989;0.8683639169;688;6.026238918
0.9847599864;152.0621185;1.959004998;196.0520935;495.0700073;0.9341893792;690;5.991737843
0.9897699952;153.2043457;1.969025016;194.2524719;495.9700012;0.9614204764;692;5.544173717
0.994780004;154.245575;1.979045033;193.2647247;497.0100098;0.7729547024;694;5.124214172
0.9997900128;149.1461487;1.989064932;192.5776367;498.0499878;0.8748194575;696;4.698450089
1.004799962;151.7478485;1.999084949;191.0323181;498.9500122;0.9506292939;698;4.999856472
1.009809971;148.4317474;2.009104967;190.98703;500;0.7741320729;700;4.734051704
1.01481998;147.4107819;2.019124985;189.2700806;501.0599976;0.5607739091;;
1.019829988;140.0851593;2.029145002;187.8470917;501.9599915;0.5360013843;;
1.024839997;144.6226959;2.03916502;187.5426025;503.0299988;0.8387030959;;
1.029850006;145.9546509;2.049185038;186.5755463;503.9299927;0.5435767174;;
1.034860015;145.4437561;2.059205055;185.0505524;505;0.585113883;;
1.039870024;143.4782715;2.069225073;184.7687988;506.0599976;0.7075623274;;
1.044880033;140.875824;2.07924509;184.0844727;506.9599915;0.5399244428;;
1.049890041;142.6607513;2.08926487;183.2555695;508.0299988;0.602191925;;
1.05490005;143.997406;2.099284887;181.2062683;508.9299927;0.4998804629;;
1.05990994;141.0532074;2.109304905;180.0272675;510;0.4387539625;;
1.064919949;140.3542938;2.119324923;179.6837158;511.0400085;0.4010105431;;
1.069929957;136.0773163;2.12934494;179.1664124;511.9400024;0.5512462258;;
1.074939966;140.9975739;2.139364958;178.0411072;512.9799805;0.6197521091;;
1.079949975;138.1052399;2.149384975;177.8589935;514.0200195;0.5765658021;;
1.084959984;136.0105896;2.159404993;176.2719421;515.0700073;0.5841827393;;
1.089969993;139.3971252;2.169425011;174.9730377;515.9699707;0.4526222348;;
1.094980001;132.3215485;2.179445028;174.457428;517.0100098;0.4210864007;;
1.09999001;130.4358368;2.189465046;173.6569977;518.0499878;0.402171731;;
1.105000019;130.574173;2.199485064;172.7632141;518.9500122;0.5988023877;;
1.110010028;130.6057434;2.209505081;171.7041931;520;0.4253595173;;
1.115020037;140.1169739;2.219525099;170.5205994;521.039978;0.553063333;;
1.120030046;131.7203064;2.229544878;170.0577545;521.9400024;0.6035731435;;
1.125039935;134.1160431;2.239564896;168.8857117;522.9799805;0.5178973079;;
1.130049944;133.1092224;2.249584913;168.4704437;524.0200195;0.4590085447;;
1.135059953;127.7080917;2.259604931;167.3609009;525.0700073;0.3331047297;;
1.140069962;129.0560608;2.269624949;167.0201111;525.9699707;0.3386791646;;
1.14507997;120.355835;2.279644966;166.1054077;527.0100098;0.3196675479;;
1.150089979;129.629425;2.289664984;165.1297913;528.0499878;0.38244766;;
1.155099988;129.1422882;2.299685001;163.6347351;528.9500122;0.4698512256;;
1.160109997;124.0765991;2.309705019;163.0143738;530;0.3723227084;;
1.165120006;123.451622;2.319725037;162.1086121;531.039978;0.5261773467;;
1.170130014;125.9628067;2.329745054;161.2285614;531.9400024;0.3287756145;;
1.175140023;119.5066681;2.339765072;160.7587128;532.9799805;0.5258367658;;
1.180150032;122.3119125;2.349785089;159.9950409;534.0200195;0.3652230799;;
1.185160041;117.8543243;2.359804869;158.6655273;535.0700073;0.3976696432;;
1.19017005;116.7803802;2.369824886;158.7301483;535.9699707;0.414070487;;
1.195179939;125.8902969;2.379844904;157.6222839;537.0100098;0.3523263335;;
1.200189948;116.514267;2.389864922;156.643219;538.0499878;0.261780113;;
1.205199957;122.869606;2.399884939;156.5016632;538.9500122;0.1218694746;;
1.210209966;114.1320953;2.409904957;155.3251038;540;0.3421486914;;
1.215219975;115.6330185;2.419924974;154.0583801;541.0200195;0.4115310907;;
1.220229983;121.6538239;2.429944992;153.6691589;542.0499878;0.2914480865;;
1.225239992;117.8657455;2.43996501;152.7937775;542.9400024;0.3360779583;;
1.230250001;116.7370224;2.449985027;151.9532318;543.9699707;0.4078391194;;
1.23526001;114.2869644;2.460005045;150.83078;545;0.4412042797;;
1.240270019;113.8467178;2.470025063;150.7187653;546.0200195;0.2872148454;;
1.245280027;107.0117569;2.48004508;149.2637329;547.0499878;0.2876042426;;
1.250290036;110.6326523;2.490065098;149.0982361;547.9400024;0.2621654868;;
1.255300045;113.961647;2.500084877;148.3148499;548.9699707;0.361743629;;
1.260309935;111.8105698;2.510104895;147.0175476;550;0.3040499687;;
1.265319943;112.3645248;2.520124912;146.4852142;551.039978;0.3531366885;;
1.270329952;114.2652969;2.53014493;145.4685669;551.9400024;0.390424341;;
1.275339961;106.02034;2.540164948;145.6542206;552.9799805;0.230646655;;
1.28034997;107.5119629;2.550184965;144.2395935;554.0200195;0.3767976165;;
1.285359979;112.6026154;2.560204983;143.510025;555.0700073;0.2462852001;;
1.290369987;110.1377411;2.570225;142.8859406;555.9699707;0.2033925802;;
1.295379996;104.6893692;2.580245018;141.8934631;557.0100098;0.3244120181;;
1.300390005;107.6320038;2.590265036;141.5726166;558.0499878;0.2234409899;;
1.305400014;100.0797043;2.600285053;140.6340637;558.9500122;0.3470875323;;
1.310410023;102.7335434;2.610305071;140.1958923;560;0.3236704171;;
1.315420032;105.836319;2.620325089;139.2583923;561.0200195;0.04179029539;;
1.32043004;106.0090485;2.630344868;138.4935303;562.0499878;0.2468526363;;
1.325440049;102.0055084;2.640364885;137.8676453;562.9400024;0.3189538121;;
